iter	Passed	Remaining
0	2	209
1	4	197
2	6	196
3	7	190
4	10	191
5	12	194
6	14	192
7	16	187
8	18	184
9	19	178
10	21	177
11	23	173
12	25	172
13	27	169
14	29	166
15	30	161
16	32	157
17	33	153
18	35	149
19	36	147
20	38	145
21	40	144
22	43	144
23	45	144
24	47	143
25	50	143
26	52	142
27	54	141
28	56	138
29	58	137
30	60	134
31	62	132
32	64	130
33	65	128
34	67	125
35	69	123
36	70	120
37	72	117
38	73	114
39	74	112
40	75	109
41	76	105
42	77	102
43	78	100
44	79	97
45	81	95
46	82	92
47	83	90
48	84	88
49	86	86
50	87	83
51	88	81
52	89	79
53	90	77
54	91	75
55	93	73
56	94	70
57	95	68
58	96	66
59	97	64
60	98	62
61	99	60
62	100	58
63	101	56
64	101	54
65	103	53
66	104	51
67	104	49
68	105	47
69	107	45
70	108	44
71	108	42
72	109	40
73	110	38
74	111	37
75	112	35
76	113	33
77	114	32
78	115	30
79	116	29
80	117	27
81	118	26
82	119	24
83	120	22
84	121	21
85	122	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	138	2
98	140	1
99	142	0
