iter	Passed	Remaining
0	153	153750
1	155	77470
2	156	51985
3	157	39097
4	158	31585
5	159	26425
6	160	22759
7	161	20026
8	162	17886
9	164	16244
10	165	14913
11	167	13762
12	168	12763
13	169	11923
14	170	11178
15	171	10528
16	171	9934
17	172	9418
18	173	8958
19	174	8538
20	174	8154
21	175	7807
22	176	7491
23	177	7199
24	177	6927
25	178	6683
26	179	6452
27	179	6237
28	180	6040
29	180	5850
30	181	5673
31	182	5507
32	182	5352
33	183	5205
34	183	5067
35	184	4936
36	184	4811
37	185	4694
38	186	4583
39	186	4477
40	187	4375
41	187	4280
42	188	4189
43	188	4100
44	189	4016
45	189	3935
46	190	3857
47	190	3784
48	191	3713
49	191	3645
50	192	3580
51	193	3519
52	193	3464
53	194	3409
54	195	3356
55	195	3303
56	196	3251
57	197	3201
58	197	3151
59	198	3106
60	198	3060
61	199	3014
62	199	2972
63	200	2930
64	200	2889
65	201	2850
66	202	2814
67	202	2778
68	203	2742
69	203	2709
70	204	2675
71	205	2642
72	205	2611
73	206	2582
74	207	2553
75	207	2526
76	208	2499
77	209	2473
78	210	2449
79	210	2425
80	211	2401
81	212	2377
82	212	2350
83	213	2327
84	214	2306
85	214	2283
86	215	2261
87	216	2239
88	216	2217
89	217	2195
90	217	2175
91	218	2156
92	219	2137
93	219	2118
94	220	2100
95	221	2082
96	221	2065
97	222	2047
98	223	2029
99	223	2013
100	224	1998
101	225	1982
102	225	1965
103	226	1949
104	226	1932
105	227	1916
106	227	1901
107	228	1885
108	228	1869
109	229	1854
110	229	1839
111	230	1825
112	230	1812
113	231	1798
114	232	1785
115	232	1773
116	233	1760
117	233	1748
118	234	1736
119	235	1724
120	235	1714
121	236	1702
122	237	1692
123	237	1681
124	238	1671
125	239	1662
126	240	1651
127	240	1641
128	241	1632
129	242	1622
130	243	1613
131	243	1603
132	244	1594
133	245	1585
134	245	1576
135	246	1567
136	247	1558
137	248	1550
138	248	1541
139	249	1533
140	250	1525
141	250	1515
142	251	1508
143	252	1500
144	253	1493
145	254	1486
146	254	1479
147	255	1473
148	256	1465
149	257	1458
150	257	1450
151	258	1442
152	259	1435
153	259	1428
154	260	1420
155	261	1413
156	261	1406
157	262	1398
158	263	1392
159	264	1386
160	264	1378
161	265	1371
162	265	1365
163	266	1358
164	267	1351
165	267	1345
166	268	1340
167	269	1333
168	270	1327
169	270	1321
170	271	1314
